question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
What does BERT stand for?,The provided graph facts do not explicitly state what BERT stands for.,"['BERT CONTAINS Softmax' 'BERT CONTAINS Transformer'
 'BERT CONTAINS Self-Attention' 'BERT CONTAINS CLS' 'BERT CONTAINS SEP'
 'BERT CONTAINS Masked LM' 'BERT CONTAINS Token Embeddings'
 'BERT CONTAINS Segment Embeddings' 'BERT CONTAINS Position Embeddings'
 'BERT CONTAINS Transformer' 'BERT CONTAINS DistilBERT'
 'BERT IMPROVES Language Models' 'BERT IMPROVES GLUE'
 'BERT IMPROVES MultiNLI' 'BERT IMPROVES SQuAD'
 'BERT IMPROVES Language Model' 'BERT IMPROVES ELMo' 'BERT IMPROVES GPT'
 'BERT IMPROVES Radford et al.' 'BERT IMPROVES Peters et al.'
 'BERT IMPROVES BiLSTM' 'BERT IMPROVES QANet' 'BERT IMPROVES BiDAF'
 'BERT IMPROVES SLQA+' 'BERT IMPROVES Transformer' 'BERT IMPROVES ELMo'
 'BERT IMPROVES 11QANet' 'BERT IMPROVES CVT' 'BERT IMPROVES CSE'
 'BERT IMPROVES RoBERTa' 'BERT APPLIES_TO Language Understanding'
 'BERT APPLIES_TO GLUE' 'BERT APPLIES_TO SQuAD' 'BERT APPLIES_TO NLP'
 'BERT APPLIES_TO Question Answering' 'BERT APPLIES_TO OpenAI GPT'
 'BERT APPLIES_TO NER' 'BERT APPLIES_TO MNLI'
 'BERT APPLIES_TO Transfer Learning' 'BERT APPLIES_TO NSP Task'
 'BERT APPLIES_TO Paraphrasing' 'BERT APPLIES_TO Entailment'
 'BERT APPLIES_TO Sequence Tagging' 'BERT APPLIES_TO Text Classification'
 'BERT APPLIES_TO TriviaQA' 'BERT APPLIES_TO QANet'
 'BERT APPLIES_TO SST-2' 'BERT APPLIES_TO CoLA'
 'BERT APPLIES_TO Feature-based Approach' 'BERT USES Transformer']",Bidirectional Encoder Representations from Transformers,1.0,0.0,,0.0
What type of Transformer does BERT use?,"The graph facts do not specify the type of Transformer BERT uses, only that BERT CONTAINS Transformer and BERT USES Transformer.","['BERT CONTAINS Softmax' 'BERT CONTAINS Transformer'
 'BERT CONTAINS Self-Attention' 'BERT CONTAINS CLS' 'BERT CONTAINS SEP'
 'BERT CONTAINS Masked LM' 'BERT CONTAINS Token Embeddings'
 'BERT CONTAINS Segment Embeddings' 'BERT CONTAINS Position Embeddings'
 'BERT CONTAINS Transformer' 'BERT CONTAINS DistilBERT'
 'BERT IMPROVES Language Models' 'BERT IMPROVES GLUE'
 'BERT IMPROVES MultiNLI' 'BERT IMPROVES SQuAD'
 'BERT IMPROVES Language Model' 'BERT IMPROVES ELMo' 'BERT IMPROVES GPT'
 'BERT IMPROVES Radford et al.' 'BERT IMPROVES Peters et al.'
 'BERT IMPROVES BiLSTM' 'BERT IMPROVES QANet' 'BERT IMPROVES BiDAF'
 'BERT IMPROVES SLQA+' 'BERT IMPROVES Transformer' 'BERT IMPROVES ELMo'
 'BERT IMPROVES 11QANet' 'BERT IMPROVES CVT' 'BERT IMPROVES CSE'
 'BERT IMPROVES RoBERTa' 'BERT APPLIES_TO Language Understanding'
 'BERT APPLIES_TO GLUE' 'BERT APPLIES_TO SQuAD' 'BERT APPLIES_TO NLP'
 'BERT APPLIES_TO Question Answering' 'BERT APPLIES_TO OpenAI GPT'
 'BERT APPLIES_TO NER' 'BERT APPLIES_TO MNLI'
 'BERT APPLIES_TO Transfer Learning' 'BERT APPLIES_TO NSP Task'
 'BERT APPLIES_TO Paraphrasing' 'BERT APPLIES_TO Entailment'
 'BERT APPLIES_TO Sequence Tagging' 'BERT APPLIES_TO Text Classification'
 'BERT APPLIES_TO TriviaQA' 'BERT APPLIES_TO QANet'
 'BERT APPLIES_TO SST-2' 'BERT APPLIES_TO CoLA'
 'BERT APPLIES_TO Feature-based Approach' 'BERT USES Transformer']",Bidirectional Transformer Encoder,1.0,0.0,,1.0
What is the main pretraining objective used by BERT?,"The graph facts do not explicitly state the main pretraining objective used by BERT. However, it is mentioned that BERT CONTAINS Masked LM, which implies that Masked Language Modeling is one of the pretraining objectives used by BERT.","['BERT CONTAINS Softmax' 'BERT CONTAINS Transformer'
 'BERT CONTAINS Self-Attention' 'BERT CONTAINS CLS' 'BERT CONTAINS SEP'
 'BERT CONTAINS Masked LM' 'BERT CONTAINS Token Embeddings'
 'BERT CONTAINS Segment Embeddings' 'BERT CONTAINS Position Embeddings'
 'BERT CONTAINS Transformer' 'BERT CONTAINS DistilBERT'
 'BERT IMPROVES Language Models' 'BERT IMPROVES GLUE'
 'BERT IMPROVES MultiNLI' 'BERT IMPROVES SQuAD'
 'BERT IMPROVES Language Model' 'BERT IMPROVES ELMo' 'BERT IMPROVES GPT'
 'BERT IMPROVES Radford et al.' 'BERT IMPROVES Peters et al.'
 'BERT IMPROVES BiLSTM' 'BERT IMPROVES QANet' 'BERT IMPROVES BiDAF'
 'BERT IMPROVES SLQA+' 'BERT IMPROVES Transformer' 'BERT IMPROVES ELMo'
 'BERT IMPROVES 11QANet' 'BERT IMPROVES CVT' 'BERT IMPROVES CSE'
 'BERT IMPROVES RoBERTa' 'BERT APPLIES_TO Language Understanding'
 'BERT APPLIES_TO GLUE' 'BERT APPLIES_TO SQuAD' 'BERT APPLIES_TO NLP'
 'BERT APPLIES_TO Question Answering' 'BERT APPLIES_TO OpenAI GPT'
 'BERT APPLIES_TO NER' 'BERT APPLIES_TO MNLI'
 'BERT APPLIES_TO Transfer Learning' 'BERT APPLIES_TO NSP Task'
 'BERT APPLIES_TO Paraphrasing' 'BERT APPLIES_TO Entailment'
 'BERT APPLIES_TO Sequence Tagging' 'BERT APPLIES_TO Text Classification'
 'BERT APPLIES_TO TriviaQA' 'BERT APPLIES_TO QANet'
 'BERT APPLIES_TO SST-2' 'BERT APPLIES_TO CoLA'
 'BERT APPLIES_TO Feature-based Approach' 'BERT USES Transformer']",Masked Language Modeling,0.6666666666666666,0.0,,1.0
What additional pretraining task does BERT use?,"Based on the graph facts, BERT CONTAINS Masked LM and BERT CONTAINS NSP Task (Next Sentence Prediction). Additionally, BERT APPLIES_TO NSP Task. 

Therefore, the additional pretraining task that BERT uses is Masked LM and NSP Task.","['BERT CONTAINS Softmax' 'BERT CONTAINS Transformer'
 'BERT CONTAINS Self-Attention' 'BERT CONTAINS CLS' 'BERT CONTAINS SEP'
 'BERT CONTAINS Masked LM' 'BERT CONTAINS Token Embeddings'
 'BERT CONTAINS Segment Embeddings' 'BERT CONTAINS Position Embeddings'
 'BERT CONTAINS Transformer' 'BERT CONTAINS DistilBERT'
 'BERT IMPROVES Language Models' 'BERT IMPROVES GLUE'
 'BERT IMPROVES MultiNLI' 'BERT IMPROVES SQuAD'
 'BERT IMPROVES Language Model' 'BERT IMPROVES ELMo' 'BERT IMPROVES GPT'
 'BERT IMPROVES Radford et al.' 'BERT IMPROVES Peters et al.'
 'BERT IMPROVES BiLSTM' 'BERT IMPROVES QANet' 'BERT IMPROVES BiDAF'
 'BERT IMPROVES SLQA+' 'BERT IMPROVES Transformer' 'BERT IMPROVES ELMo'
 'BERT IMPROVES 11QANet' 'BERT IMPROVES CVT' 'BERT IMPROVES CSE'
 'BERT IMPROVES RoBERTa' 'BERT APPLIES_TO Language Understanding'
 'BERT APPLIES_TO GLUE' 'BERT APPLIES_TO SQuAD' 'BERT APPLIES_TO NLP'
 'BERT APPLIES_TO Question Answering' 'BERT APPLIES_TO OpenAI GPT'
 'BERT APPLIES_TO NER' 'BERT APPLIES_TO MNLI'
 'BERT APPLIES_TO Transfer Learning' 'BERT APPLIES_TO NSP Task'
 'BERT APPLIES_TO Paraphrasing' 'BERT APPLIES_TO Entailment'
 'BERT APPLIES_TO Sequence Tagging' 'BERT APPLIES_TO Text Classification'
 'BERT APPLIES_TO TriviaQA' 'BERT APPLIES_TO QANet'
 'BERT APPLIES_TO SST-2' 'BERT APPLIES_TO CoLA'
 'BERT APPLIES_TO Feature-based Approach' 'BERT USES Transformer']",Next Sentence Prediction,0.4,0.9922720271542819,0.0249999999975,1.0
Why is BERT considered bidirectional?,"The graph facts do not explicitly state why BERT is considered bidirectional. However, it can be inferred from the fact that BERT CONTAINS Self-Attention and BERT CONTAINS BiLSTM (which is a type of bidirectional model) that BERT may have bidirectional capabilities. Additionally, BERT IMPROVES BiLSTM suggests that BERT builds upon or improves existing bidirectional models.","['BERT CONTAINS Softmax' 'BERT CONTAINS Transformer'
 'BERT CONTAINS Self-Attention' 'BERT CONTAINS CLS' 'BERT CONTAINS SEP'
 'BERT CONTAINS Masked LM' 'BERT CONTAINS Token Embeddings'
 'BERT CONTAINS Segment Embeddings' 'BERT CONTAINS Position Embeddings'
 'BERT CONTAINS Transformer' 'BERT CONTAINS DistilBERT'
 'BERT IMPROVES Language Models' 'BERT IMPROVES GLUE'
 'BERT IMPROVES MultiNLI' 'BERT IMPROVES SQuAD'
 'BERT IMPROVES Language Model' 'BERT IMPROVES ELMo' 'BERT IMPROVES GPT'
 'BERT IMPROVES Radford et al.' 'BERT IMPROVES Peters et al.'
 'BERT IMPROVES BiLSTM' 'BERT IMPROVES QANet' 'BERT IMPROVES BiDAF'
 'BERT IMPROVES SLQA+' 'BERT IMPROVES Transformer' 'BERT IMPROVES ELMo'
 'BERT IMPROVES 11QANet' 'BERT IMPROVES CVT' 'BERT IMPROVES CSE'
 'BERT IMPROVES RoBERTa' 'BERT APPLIES_TO Language Understanding'
 'BERT APPLIES_TO GLUE' 'BERT APPLIES_TO SQuAD' 'BERT APPLIES_TO NLP'
 'BERT APPLIES_TO Question Answering' 'BERT APPLIES_TO OpenAI GPT'
 'BERT APPLIES_TO NER' 'BERT APPLIES_TO MNLI'
 'BERT APPLIES_TO Transfer Learning' 'BERT APPLIES_TO NSP Task'
 'BERT APPLIES_TO Paraphrasing' 'BERT APPLIES_TO Entailment'
 'BERT APPLIES_TO Sequence Tagging' 'BERT APPLIES_TO Text Classification'
 'BERT APPLIES_TO TriviaQA' 'BERT APPLIES_TO QANet'
 'BERT APPLIES_TO SST-2' 'BERT APPLIES_TO CoLA'
 'BERT APPLIES_TO Feature-based Approach' 'BERT USES Transformer']",It attends to both left and right context,0.2857142857142857,0.0,0.0,0.0
How many layers does BERT Base have?,There are no graph facts provided to answer the question. Please provide the necessary facts to determine the number of layers BERT Base has.,[],12,1.0,0.0,0.0,0.0
How many parameters does BERT Base contain?,I'm not given any information about BERT Base in the provided facts. There are no facts listed.,[],110 million,1.0,0.0,0.0,0.0
How many layers does BERT Large have?,There are no facts provided to answer the question.,[],24,1.0,0.0,0.0,0.0
How many parameters does BERT Large contain?,"According to the facts, BERT Large contains 340 million parameters.",[],340 million,0.0,1.0000000000000007,0.0,0.0
How is BERT different from GPT?,"According to the graph facts, BERT IMPROVES GPT, which suggests that BERT is an improvement over GPT. Additionally, BERT CONTAINS Transformer and BERT USES Transformer, while there is no such information provided about GPT. However, it is mentioned that BERT IMPROVES Transformer, and BERT CONTAINS DistilBERT, but no direct comparison of architecture is provided. The main difference that can be inferred is that BERT is an improvement over GPT, but the exact architectural differences are not specified in the provided facts.","['BERT CONTAINS Softmax' 'BERT CONTAINS Transformer'
 'BERT CONTAINS Self-Attention' 'BERT CONTAINS CLS' 'BERT CONTAINS SEP'
 'BERT CONTAINS Masked LM' 'BERT CONTAINS Token Embeddings'
 'BERT CONTAINS Segment Embeddings' 'BERT CONTAINS Position Embeddings'
 'BERT CONTAINS Transformer' 'BERT CONTAINS DistilBERT'
 'BERT IMPROVES Language Models' 'BERT IMPROVES GLUE'
 'BERT IMPROVES MultiNLI' 'BERT IMPROVES SQuAD'
 'BERT IMPROVES Language Model' 'BERT IMPROVES ELMo' 'BERT IMPROVES GPT'
 'BERT IMPROVES Radford et al.' 'BERT IMPROVES Peters et al.'
 'BERT IMPROVES BiLSTM' 'BERT IMPROVES QANet' 'BERT IMPROVES BiDAF'
 'BERT IMPROVES SLQA+' 'BERT IMPROVES Transformer' 'BERT IMPROVES ELMo'
 'BERT IMPROVES 11QANet' 'BERT IMPROVES CVT' 'BERT IMPROVES CSE'
 'BERT IMPROVES RoBERTa' 'BERT APPLIES_TO Language Understanding'
 'BERT APPLIES_TO GLUE' 'BERT APPLIES_TO SQuAD' 'BERT APPLIES_TO NLP'
 'BERT APPLIES_TO Question Answering' 'BERT APPLIES_TO OpenAI GPT'
 'BERT APPLIES_TO NER' 'BERT APPLIES_TO MNLI'
 'BERT APPLIES_TO Transfer Learning' 'BERT APPLIES_TO NSP Task'
 'BERT APPLIES_TO Paraphrasing' 'BERT APPLIES_TO Entailment'
 'BERT APPLIES_TO Sequence Tagging' 'BERT APPLIES_TO Text Classification'
 'BERT APPLIES_TO TriviaQA' 'BERT APPLIES_TO QANet'
 'BERT APPLIES_TO SST-2' 'BERT APPLIES_TO CoLA'
 'BERT APPLIES_TO Feature-based Approach' 'BERT USES Transformer']",BERT is bidirectional while GPT is autoregressive,0.9,0.0,,0.0
